,cosine_similarity,dissimilarity,base_rate,base_rate_diff,FFR,ko-us_gap,governor,president,tr1,tr2
2006-02-09,0.9226755678150796,0.07732443218492036,4.0,1.0,4.5,-0.5,박승,노무현,3.38785853590467,2.31721968489891
2006-03-09,0.883484771239203,0.11651522876079701,4.0,0.0,4.5,-0.5,박승,노무현,3.38785853590467,2.31721968489891
2006-04-07,0.9400572198201602,0.05994278017983978,4.0,0.0,4.75,-0.75,이성태,노무현,2.92045725540123,3.61773018537196
2006-05-11,0.9245767916435739,0.07542320835642613,4.0,0.0,5.0,-1.0,이성태,노무현,2.92045725540123,3.61773018537196
2006-06-08,0.892363919068504,0.10763608093149601,4.25,1.0,5.0,-0.75,이성태,노무현,2.92045725540123,3.61773018537196
2006-07-07,0.8580645161290322,0.14193548387096777,4.25,0.0,5.25,-1.0,이성태,노무현,3.50001955291047,3.68856186162131
2006-08-10,0.8990657289983992,0.1009342710016008,4.5,1.0,5.25,-0.75,이성태,노무현,3.50001955291047,3.68856186162131
2006-09-07,0.8683871980401141,0.1316128019598859,4.5,0.0,5.25,-0.75,이성태,노무현,3.50001955291047,3.68856186162131
2006-10-12,0.860784254117622,0.13921574588237795,4.5,0.0,5.25,-0.75,이성태,노무현,2.82169140513982,4.75184616392881
2006-11-09,0.8892005896624683,0.11079941033753171,4.5,0.0,5.25,-0.75,이성태,노무현,2.82169140513982,4.75184616392881
2006-12-07,0.9339804754728085,0.06601952452719151,4.5,0.0,5.25,-0.75,이성태,노무현,2.82169140513982,4.75184616392881
2007-01-11,0.9057165830894253,0.09428341691057474,4.5,0.0,5.25,-0.75,이성태,노무현,2.71912228884675,3.05712819978505
2007-02-08,0.889431363187969,0.110568636812031,4.5,0.0,5.25,-0.75,이성태,노무현,2.71912228884675,3.05712819978505
2007-03-08,0.950167036231547,0.04983296376845303,4.5,0.0,5.25,-0.75,이성태,노무현,2.71912228884675,3.05712819978505
2007-04-12,0.897093679647613,0.102906320352387,4.5,0.0,5.25,-0.75,이성태,노무현,3.86889505248692,3.87256627939781
2007-05-10,0.9371431373147898,0.06285686268521018,4.5,0.0,5.25,-0.75,이성태,노무현,3.86889505248692,3.87256627939781
2007-06-08,0.9658123639026405,0.03418763609735953,4.5,0.0,5.25,-0.75,이성태,노무현,3.86889505248692,3.87256627939781
2007-07-12,0.7067534927402196,0.2932465072597804,4.75,1.0,5.25,-0.5,이성태,노무현,3.48535366150576,3.29151531497299
2007-08-09,0.8885371525786978,0.11146284742130219,5.0,1.0,5.25,-0.25,이성태,노무현,3.48535366150576,3.29151531497299
2007-09-07,0.8209374329020739,0.17906256709792612,5.0,0.0,5.25,-0.25,이성태,노무현,3.48535366150576,3.29151531497299
2007-10-11,0.8968035110921221,0.10319648890787791,5.0,0.0,4.75,0.25,이성태,노무현,5.73910527574526,5.24318025778969
2007-11-08,0.8994380267950336,0.1005619732049664,5.0,0.0,4.5,0.5,이성태,노무현,5.73910527574526,5.24318025778969
2007-12-07,0.9141681560867214,0.08583184391327858,5.0,0.0,4.5,0.5,이성태,노무현,5.73910527574526,5.24318025778969
2008-01-10,0.8927528753191772,0.10724712468082276,5.0,0.0,4.25,0.75,이성태,노무현,5.93529300974107,6.17025026442109
2008-02-13,0.865402395859759,0.13459760414024102,5.0,0.0,3.0,2.0,이성태,노무현,5.93529300974107,6.17025026442109
2008-03-07,0.8949111622441402,0.10508883775585975,5.0,0.0,3.0,2.0,이성태,이명박,5.93529300974107,6.17025026442109
2008-04-10,0.8359578358719445,0.1640421641280555,5.0,0.0,2.25,2.75,이성태,이명박,6.79887688604847,7.27103689219383
2008-05-08,0.9195928886986885,0.0804071113013115,5.0,0.0,2.0,3.0,이성태,이명박,6.79887688604847,7.27103689219383
2008-06-12,0.882522608121828,0.11747739187817197,5.0,0.0,2.0,3.0,이성태,이명박,6.79887688604847,7.27103689219383
2008-07-10,0.8896203789283669,0.11037962107163313,5.0,0.0,2.0,3.0,이성태,이명박,7.65588264678949,8.33829646098176
2008-08-07,0.8579746186785163,0.14202538132148368,5.25,1.0,2.0,3.25,이성태,이명박,7.65588264678949,8.33829646098176
2008-09-11,0.8323591239042439,0.16764087609575606,5.25,0.0,2.0,3.25,이성태,이명박,7.65588264678949,8.33829646098176
2008-10-09,0.7821341248535223,0.2178658751464777,5.0,1.0,1.5,3.5,이성태,이명박,3.34757793688905,7.60582062275523
2008-11-07,0.8212630929949859,0.1787369070050141,4.0,1.0,1.0,3.0,이성태,이명박,3.34757793688905,7.60582062275523
2008-12-11,0.8536867506397614,0.1463132493602386,3.0,1.0,1.0,2.0,이성태,이명박,3.34757793688905,7.60582062275523
2009-01-10,0.8509814473689763,0.1490185526310237,2.5,1.0,0.125,2.375,이성태,이명박,2.47425081480661,5.41941845431967
2009-02-12,0.9190565203790857,0.0809434796209143,2.0,1.0,0.125,1.875,이성태,이명박,2.47425081480661,5.41941845431967
2009-03-12,0.787134531807925,0.21286546819207497,2.0,0.0,0.125,1.875,이성태,이명박,2.47425081480661,5.41941845431967
2009-04-09,0.9093747854401036,0.09062521455989636,2.0,0.0,0.125,1.875,이성태,이명박,1.14835900480601,3.17148698219292
2009-05-12,0.8718182675191009,0.12818173248089915,2.0,0.0,0.125,1.875,이성태,이명박,1.14835900480601,3.17148698219292
2009-06-11,0.8378488273929731,0.16215117260702694,2.0,0.0,0.125,1.875,이성태,이명박,1.14835900480601,3.17148698219292
2009-07-09,0.9191339377605664,0.0808660622394336,2.0,0.0,0.125,1.875,이성태,이명박,1.05698779726629,1.85262671507616
2009-08-11,0.9032093340083742,0.09679066599162578,2.0,0.0,0.125,1.875,이성태,이명박,1.05698779726629,1.85262671507616
2009-09-10,0.8893006229416329,0.11069937705836708,2.0,0.0,0.125,1.875,이성태,이명박,1.05698779726629,1.85262671507616
2009-10-09,0.8812799848882906,0.11872001511170938,2.0,0.0,0.125,1.875,이성태,이명박,3.75773163367145,5.03765913293172
2009-11-12,0.8820671125518097,0.1179328874481903,2.0,0.0,0.125,1.875,이성태,이명박,3.75773163367145,5.03765913293172
2009-12-10,0.8771639946737508,0.12283600532624916,2.0,0.0,0.125,1.875,이성태,이명박,3.75773163367145,5.03765913293172
2010-01-08,0.8169040030820053,0.18309599691799472,2.0,0.0,0.125,1.875,이성태,이명박,5.63017532217385,4.2356657569964
2010-02-11,0.8388339974871527,0.1611660025128473,2.0,0.0,0.125,1.875,이성태,이명박,5.63017532217385,4.2356657569964
2010-03-11,0.9006675890021312,0.09933241099786883,2.0,0.0,0.125,1.875,이성태,이명박,5.63017532217385,4.2356657569964
2010-04-09,0.8325305542879847,0.16746944571201527,2.0,0.0,0.125,1.875,김중수,이명박,5.4115390530117,3.10054952422931
2010-05-12,0.9094304655568108,0.09056953444318916,2.0,0.0,0.125,1.875,김중수,이명박,5.4115390530117,3.10054952422931
2010-06-10,0.8805593353058225,0.11944066469417747,2.0,0.0,0.125,1.875,김중수,이명박,5.4115390530117,3.10054952422931
2010-07-09,0.8741659957234847,0.12583400427651525,2.25,1.0,0.125,2.125,김중수,이명박,4.75235137508667,2.96860209770873
2010-08-12,0.9532270463419178,0.046772953658082206,2.25,0.0,0.125,2.125,김중수,이명박,4.75235137508667,2.96860209770873
2010-09-09,0.944371580123455,0.05562841987654499,2.25,0.0,0.125,2.125,김중수,이명박,4.75235137508667,2.96860209770873
2010-10-14,0.9060781534448752,0.09392184655512481,2.25,0.0,0.125,2.125,김중수,이명박,5.56354941790087,4.49844981650087
2010-11-16,0.930480931323129,0.06951906867687097,2.5,1.0,0.125,2.375,김중수,이명박,5.56354941790087,4.49844981650087
2010-12-09,0.9246169542353034,0.07538304576469657,2.5,0.0,0.125,2.375,김중수,이명박,5.56354941790087,4.49844981650087
2011-01-13,0.9087998966476397,0.09120010335236028,2.75,1.0,0.125,2.625,김중수,이명박,6.02151972165597,5.39692299700766
2011-02-11,0.9416643180482631,0.058335681951736884,2.75,0.0,0.125,2.625,김중수,이명박,6.02151972165597,5.39692299700766
2011-03-10,0.908833873965193,0.091166126034807,3.0,1.0,0.125,2.875,김중수,이명박,6.02151972165597,5.39692299700766
2011-04-12,0.9381533934024096,0.06184660659759045,3.0,0.0,0.125,2.875,김중수,이명박,5.480519541988,6.02474172370556
2011-05-13,0.9468096040434665,0.05319039595653352,3.0,0.0,0.125,2.875,김중수,이명박,5.480519541988,6.02474172370556
2011-06-10,0.9010029293855474,0.09899707061445262,3.25,1.0,0.125,3.125,김중수,이명박,5.480519541988,6.02474172370556
2011-07-14,0.9030709788366725,0.09692902116332747,3.25,0.0,0.125,3.125,김중수,이명박,5.62974557506059,6.06847548376334
2011-08-11,0.9302007559928321,0.06979924400716786,3.25,0.0,0.125,3.125,김중수,이명박,5.62974557506059,6.06847548376334
2011-09-08,0.9171413723583016,0.08285862764169838,3.25,0.0,0.125,3.125,김중수,이명박,5.62974557506059,6.06847548376334
2011-10-13,0.9356283507235221,0.06437164927647787,3.25,0.0,0.125,3.125,김중수,이명박,4.90760703956711,5.71747207578436
2011-12-08,0.9298694125268248,0.07013058747317524,3.25,0.0,0.125,3.125,김중수,이명박,4.90760703956711,5.71747207578436
2012-01-13,0.9307699727295227,0.06923002727047733,3.25,0.0,0.125,3.125,김중수,이명박,3.44111541424959,3.51322184548851
2012-02-09,0.9275999150757233,0.07240008492427674,3.25,0.0,0.125,3.125,김중수,이명박,3.44111541424959,3.51322184548851
2012-03-08,0.9607114250347051,0.03928857496529492,3.25,0.0,0.125,3.125,김중수,이명박,3.44111541424959,3.51322184548851
2012-04-13,0.9358156570842041,0.06418434291579589,3.25,0.0,0.125,3.125,김중수,이명박,2.64140449667843,3.25586547046314
2012-05-10,0.9470693087127294,0.05293069128727057,3.25,0.0,0.125,3.125,김중수,이명박,2.64140449667843,3.25586547046314
2012-06-08,0.9206788445151453,0.07932115548485474,3.25,0.0,0.125,3.125,김중수,이명박,2.64140449667843,3.25586547046314
2012-07-12,0.8765808613553404,0.12341913864465959,3.0,1.0,0.125,2.875,김중수,이명박,1.41669063395639,2.33069991045466
2012-08-09,0.9012155738083577,0.0987844261916423,3.0,0.0,0.125,2.875,김중수,이명박,1.41669063395639,2.33069991045466
2012-09-13,0.9084802214483371,0.09151977855166293,3.0,0.0,0.125,2.875,김중수,이명박,1.41669063395639,2.33069991045466
2012-10-11,0.963454018781305,0.03654598121869501,2.75,1.0,0.125,2.625,김중수,이명박,1.68170047616364,3.08716286163165
2012-11-09,0.924644736779269,0.07535526322073105,2.75,0.0,0.125,2.625,김중수,이명박,1.68170047616364,3.08716286163165
2012-12-13,0.9264499388811495,0.07355006111885054,2.75,0.0,0.125,2.625,김중수,이명박,1.68170047616364,3.08716286163165
2013-01-11,0.9362596309172009,0.06374036908279912,2.75,0.0,0.125,2.625,김중수,이명박,1.61102378144695,1.56916355800077
2013-02-14,0.9292528182823402,0.07074718171765981,2.75,0.0,0.125,2.625,김중수,이명박,1.61102378144695,1.56916355800077
2013-03-14,0.9344050708968373,0.06559492910316267,2.75,0.0,0.125,2.625,김중수,박근혜,1.61102378144695,1.56916355800077
2013-04-11,0.9278894819581031,0.07211051804189694,2.75,0.0,0.125,2.625,김중수,박근혜,1.42906932276045,1.17065971723526
2013-05-09,0.8605306407037613,0.13946935929623872,2.5,1.0,0.125,2.375,김중수,박근혜,1.42906932276045,1.17065971723526
2013-06-13,0.85391156233923,0.14608843766076995,2.5,0.0,0.125,2.375,김중수,박근혜,1.42906932276045,1.17065971723526
2013-07-11,0.9160061201769018,0.08399387982309825,2.5,0.0,0.125,2.375,김중수,박근혜,1.94280000293353,1.18779032414481
2013-08-08,0.9284252346426407,0.0715747653573593,2.5,0.0,0.125,2.375,김중수,박근혜,1.94280000293353,1.18779032414481
2013-09-12,0.8989595236466662,0.1010404763533338,2.5,0.0,0.125,2.375,김중수,박근혜,1.94280000293353,1.18779032414481
2013-10-10,0.9385657207453315,0.06143427925466849,2.5,0.0,0.125,2.375,김중수,박근혜,1.70139826832948,1.57294865623464
2013-11-14,0.9308635321797191,0.06913646782028093,2.5,0.0,0.125,2.375,김중수,박근혜,1.70139826832948,1.57294865623464
2013-12-12,0.9448042666921778,0.05519573330782224,2.5,0.0,0.125,2.375,김중수,박근혜,1.70139826832948,1.57294865623464
2014-01-09,0.9190162434042535,0.08098375659574653,2.5,0.0,0.125,2.375,김중수,박근혜,1.74832132293324,0.134564758252044
2014-02-13,0.9281224850658094,0.07187751493419059,2.5,0.0,0.125,2.375,김중수,박근혜,1.74832132293324,0.134564758252044
2014-03-13,0.9491542174130765,0.050845782586923516,2.5,0.0,0.125,2.375,김중수,박근혜,1.74832132293324,0.134564758252044
2014-04-10,0.9600641385345016,0.039935861465498435,2.5,0.0,0.125,2.375,이주열,박근혜,2.31951392913192,0.901263952893459
2014-05-09,0.9610902088069364,0.03890979119306359,2.5,0.0,0.125,2.375,이주열,박근혜,2.31951392913192,0.901263952893459
2014-06-12,0.947953632538968,0.05204636746103197,2.5,0.0,0.125,2.375,이주열,박근혜,2.31951392913192,0.901263952893459
2014-07-10,0.9582024734276536,0.041797526572346366,2.5,0.0,0.125,2.375,이주열,박근혜,1.81162682652648,1.0181855042224
2014-08-14,0.9187969893698456,0.08120301063015445,2.25,1.0,0.125,2.125,이주열,박근혜,1.81162682652648,1.0181855042224
2014-09-12,0.9573607265713869,0.04263927342861307,2.25,0.0,0.125,2.125,이주열,박근혜,1.81162682652648,1.0181855042224
2014-10-15,0.8969006986586602,0.10309930134133982,2.0,1.0,0.125,1.875,이주열,박근혜,1.00804387387841,0.539434679183183
2014-11-13,0.9143048472328501,0.0856951527671499,2.0,0.0,0.125,1.875,이주열,박근혜,1.00804387387841,0.539434679183183
2014-12-11,0.9516752617565862,0.04832473824341377,2.0,0.0,0.125,1.875,이주열,박근혜,1.00804387387841,0.539434679183183
2015-01-15,0.907972395493017,0.092027604506983,2.0,0.0,0.125,1.875,이주열,박근혜,0.523689330856967,-2.06403210940657
2015-02-17,0.9385023211607885,0.061497678839211534,2.0,0.0,0.125,1.875,이주열,박근혜,0.523689330856967,-2.06403210940657
2015-03-12,0.9493921534569203,0.050607846543079704,1.75,1.0,0.125,1.625,이주열,박근혜,0.523689330856967,-2.06403210940657
2015-04-09,0.9469112425654017,0.05308875743459829,1.75,0.0,0.125,1.625,이주열,박근혜,0.100692223124706,-1.25364512287022
2015-05-15,0.9478833446128605,0.0521166553871395,1.75,0.0,0.125,1.625,이주열,박근혜,0.100692223124706,-1.25364512287022
2015-06-11,0.916982264873748,0.08301773512625199,1.5,1.0,0.125,1.375,이주열,박근혜,0.100692223124706,-1.25364512287022
2015-07-09,0.9392784414620317,0.060721558537968345,1.5,0.0,0.125,1.375,이주열,박근혜,0.907437673465032,-0.171818501710852
2015-08-13,0.9350495502745242,0.06495044972547581,1.5,0.0,0.125,1.375,이주열,박근혜,0.907437673465032,-0.171818501710852
2015-09-11,0.9407103859301122,0.05928961406988775,1.5,0.0,0.125,1.375,이주열,박근혜,0.907437673465032,-0.171818501710852
2015-10-15,0.9589760882642384,0.04102391173576159,1.5,0.0,0.125,1.375,이주열,박근혜,1.3741716087611,1.43106863128171
2015-11-12,0.9677828554677227,0.03221714453227731,1.5,0.0,0.125,1.375,이주열,박근혜,1.3741716087611,1.43106863128171
2015-12-10,0.9766007072683491,0.023399292731650867,1.5,0.0,0.125,1.375,이주열,박근혜,1.3741716087611,1.43106863128171
2016-01-14,0.9429402016031317,0.057059798396868255,1.5,0.0,0.375,1.125,이주열,박근혜,1.24777007391388,0.251147201749998
2016-02-16,0.942775629201839,0.057224370798161006,1.5,0.0,0.375,1.125,이주열,박근혜,1.24777007391388,0.251147201749998
2016-03-10,0.9612019680173846,0.038798031982615444,1.5,0.0,0.375,1.125,이주열,박근혜,1.24777007391388,0.251147201749998
2016-04-19,0.9375422629958527,0.06245773700414725,1.5,0.0,0.375,1.125,이주열,박근혜,1.63554392662021,0.872340501495075
2016-05-13,0.9448820009528138,0.05511799904718617,1.5,0.0,0.375,1.125,이주열,박근혜,1.63554392662021,0.872340501495075
2016-06-09,0.9155060013023416,0.08449399869765839,1.25,1.0,0.375,0.875,이주열,박근혜,1.63554392662021,0.872340501495075
2016-07-14,0.9407599261999521,0.05924007380004792,1.25,0.0,0.375,0.875,이주열,박근혜,1.08466384070184,2.35041696554016
2016-08-11,0.9606378979552641,0.03936210204473589,1.25,0.0,0.375,0.875,이주열,박근혜,1.08466384070184,2.35041696554016
2016-09-09,0.9571343698721193,0.042865630127880694,1.25,0.0,0.375,0.875,이주열,박근혜,1.08466384070184,2.35041696554016
2016-10-13,0.9572389607694592,0.042761039230540754,1.25,0.0,0.375,0.875,이주열,박근혜,2.05510803098249,4.00730825136743
2016-11-11,0.9371395201158692,0.0628604798841308,1.25,0.0,0.375,0.875,이주열,박근혜,2.05510803098249,4.00730825136743
2016-12-15,0.9352678571428571,0.0647321428571429,1.25,0.0,0.625,0.625,이주열,박근혜,2.05510803098249,4.00730825136743
2017-01-13,0.821469297287904,0.17853070271209603,1.25,0.0,0.625,0.625,이주열,박근혜,3.44973381810469,3.69988066223421
